comp_name,dep_status,duration,end_date,etl_type,failed_steps,i_load_plan,name,nb_run,row_tag,running_steps,sess_no,start_date,status,succ_steps,total_steps
116920 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 06:13:06.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,306,0,116920,2020-06-11 06:13:04.0,Completed,0,5
116919 - 1 - apl-scm-app 400 pricing hourly load plan,,00:04,2020-06-11 06:16:22.0,CDP-OCI,0,761,apl-scm-app 400 pricing hourly load plan,1,307,0,116919,2020-06-11 06:12:01.0,Completed,13,13
116918 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 06:08:33.0,CDP-OCI,0,460,sds-fia-app om custom load,1,308,0,116918,2020-06-11 06:08:16.0,Completed,15,15
116914 - 1 - appl-monitor-app plan,,00:00,2020-06-11 06:05:37.0,CDP-OCI,0,774,appl-monitor-app plan,1,309,0,116914,2020-06-11 06:05:21.0,Completed,5,5
116917 - 1 - apl-scm-app 509 SCP PvA Three Hourly load plan,,00:18,2020-06-11 06:21:54.0,CDP-OCI,0,1074,apl-scm-app 509 SCP PvA Three Hourly load plan,1,310,0,116917,2020-06-11 06:03:41.0,Completed,2,2
116916 - 1 - sds-oalodi-app plan1,,00:02,2020-06-11 06:05:40.0,CDP-OCI,0,1302,sds-oalodi-app plan1,1,311,0,116916,2020-06-11 06:03:37.0,Completed,5,5
116913 - 1 - sds-fia-app hourly plan1,,00:13,2020-06-11 06:17:27.0,CDP-OCI,0,1464,sds-fia-app hourly plan1,1,312,0,116913,2020-06-11 06:03:30.0,Completed,1609,4044
116915 - 1 - apl-scm-core quality conditional load plan,,00:01,2020-06-11 06:05:23.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,313,0,116915,2020-06-11 06:03:29.0,Completed,0,8
116911 - 1 - fdl-common-app hourly consume,,00:07,2020-06-11 06:10:31.0,CDP-OCI,0,812,fdl-common-app hourly consume,1,314,0,116911,2020-06-11 06:02:42.0,Completed,48,63
116909 - 1 - sds-fia-app hourly auto load plan1,,00:02,2020-06-11 06:04:41.0,CDP-OCI,0,1462,sds-fia-app hourly auto load plan1,1,315,0,116909,2020-06-11 06:02:38.0,Completed,178,178
116912 - 1 - sds-fia-erp hourly load plan Fin01,,00:04,2020-06-11 06:05:27.0,CDP-OCI,0,463,sds-fia-erp hourly load plan Fin01,1,316,0,116912,2020-06-11 06:01:01.0,Completed,229,408
116910 - 1 - sds-oalprj-app stream replicate hourly,,00:02,2020-06-11 06:02:48.0,CDP-OCI,0,1345,sds-oalprj-app stream replicate hourly,1,317,0,116910,2020-06-11 06:00:47.0,Completed,5,5
116908 - 1 - sds-fia-app om custom load,,00:02,2020-06-11 06:02:35.0,CDP-OCI,0,460,sds-fia-app om custom load,1,318,0,116908,2020-06-11 06:00:31.0,Completed,15,15
116907 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 05:57:23.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,319,0,116907,2020-06-11 05:57:21.0,Completed,0,5
116906 - 1 - apl-scm-app 102 Order Management hourly load plan,,00:45,2020-06-11 06:41:06.0,CDP-OCI,0,848,apl-scm-app 102 Order Management hourly load plan,1,320,0,116906,2020-06-11 05:55:22.0,Completed,37,37
116905 - 1 - sds-fia-app om custom load,,00:02,2020-06-11 05:54:50.0,CDP-OCI,0,460,sds-fia-app om custom load,1,321,0,116905,2020-06-11 05:52:43.0,Completed,15,15
116904 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 05:47:01.0,CDP-OCI,0,460,sds-fia-app om custom load,1,322,0,116904,2020-06-11 05:46:48.0,Completed,15,15
116903 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 05:46:48.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,323,0,116903,2020-06-11 05:46:46.0,Completed,0,8
116902 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 05:41:40.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,324,0,116902,2020-06-11 05:41:38.0,Completed,0,5
116901 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 05:39:15.0,CDP-OCI,0,460,sds-fia-app om custom load,1,325,0,116901,2020-06-11 05:39:00.0,Completed,15,15
116900 - 1 - apl-scm-scp OPTION LP,,02:36,2020-06-11 08:08:45.0,CDP-OCI,0,1059,apl-scm-scp OPTION LP,1,326,0,116900,2020-06-11 05:32:32.0,Completed,7,7
116899 - 1 - apl-scm-app 101 inventory hourly load plan,,00:23,2020-06-11 05:55:44.0,CDP-OCI,0,758,apl-scm-app 101 inventory hourly load plan,1,327,0,116899,2020-06-11 05:32:32.0,Completed,18,18
116898 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 05:31:27.0,CDP-OCI,0,460,sds-fia-app om custom load,1,328,0,116898,2020-06-11 05:31:14.0,Completed,15,15
116897 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 05:29:14.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,329,0,116897,2020-06-11 05:29:12.0,Completed,0,8
116896 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 05:24:06.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,330,0,116896,2020-06-11 05:24:04.0,Completed,0,5
116895 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 05:23:42.0,CDP-OCI,0,460,sds-fia-app om custom load,1,331,0,116895,2020-06-11 05:23:28.0,Completed,15,15
116894 - 1 - apl-scm-scp MODEL LP,,01:12,2020-06-11 06:30:30.0,CDP-OCI,0,1055,apl-scm-scp MODEL LP,1,332,0,116894,2020-06-11 05:17:32.0,Completed,7,7
116893 - 1 - sds-fia-app om custom load,,00:02,2020-06-11 05:15:55.0,CDP-OCI,0,460,sds-fia-app om custom load,1,333,0,116893,2020-06-11 05:13:46.0,Completed,15,15
116892 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 05:11:40.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,334,0,116892,2020-06-11 05:11:37.0,Completed,0,8
